,answer_pos
12,1
21,1
66,1
72,3
188,1
204,1
391,1
429,1
461,2
464,4
470,1
512,1
530,5
564,1
569,1
614,1
733,1
781,2
797,1
830,1
1056,1
1078,1
1136,1
1271,1
1291,1
1400,1
1412,1
1415,1
1419,1
1435,1
1549,2
1604,1
1693,1
1705,1
1708,1
1712,1
1722,1
1743,1
1854,1
1900,1
2124,5
2178,1
2211,1
2246,4
2282,1
2296,1
2404,1
2414,2
2474,1
2500,1
2551,1
2611,1
2745,1
2774,1
2777,1
2881,2
2963,1
2969,1
2988,1
3033,1
3044,1
3193,1
3306,2
3320,1
3364,2
3370,1
3447,1
3459,1
3506,1
3511,1
3554,1
3567,6
3746,1
3769,1
4050,1
4080,1
4194,1
4236,1
4258,1
4275,1
4285,1
4361,1
4394,4
4499,1
4529,1
4567,1
4629,1
4646,1
4712,8
4733,1
4816,2
4943,1
5048,2
5123,1
5150,1
5206,1
5217,1
5230,1
5237,1
5249,2
5257,1
5738,1
5765,1
5802,1
5827,1
5858,1
5914,1
6019,1
6057,1
6091,1
6134,1
6194,1
6202,2
6215,1
6274,1
6282,1
6308,1
6317,1
6381,1
6454,1
6651,1
6766,1
6807,1
6900,1
6960,1
7091,1
7224,3
7242,1
7245,1
7337,1
7383,1
7400,1
7435,1
7520,1
7539,1
7548,1
7616,1
7625,1
7673,1
7712,1
7758,1
7796,3
7821,1
7832,1
7858,1
7987,1
8011,1
8064,2
8142,1
8169,8
8289,1
8367,2
8411,1
8783,1
8833,1
8935,1
8938,1
8962,1
8988,1
9001,1
9043,1
9050,2
9066,1
9103,1
9106,1
9152,1
9311,1
9320,1
9336,1
9343,1
9473,1
9566,1
9591,1
9684,1
9712,1
9721,1
9722,2
9749,1
9768,1
9816,1
9830,1
9943,1
9950,1
9958,2
9986,1
10048,1
10247,3
10257,1
10277,1
10304,1
10309,3
10345,1
10360,1
10421,1
10515,1
10579,1
10639,1
10755,2
10881,1
10888,1
10894,3
10911,3
10959,1
11003,1
11006,1
11011,2
11026,1
11095,1
11146,2
11150,1
11187,1
11317,1
11333,1
11372,1
11460,1
11466,2
11576,1
11627,1
11655,1
11790,1
11818,1
11837,1
11868,1
11875,2
11926,1
11936,2
11941,1
11975,2
12013,1
12052,1
12159,1
12245,2
12312,1
12362,1
12372,1
12394,2
12412,1
12565,1
12576,1
12682,1
12698,2
12765,1
12818,1
12881,1
12886,1
12896,1
13088,1
13140,1
13526,1
13552,1
13561,1
13569,3
13641,1
13717,1
14002,1
14165,2
14173,1
14181,1
14212,1
14218,1
14306,1
14382,1
14412,1
14425,1
14426,1
14442,1
14485,1
14486,2
14513,3
14518,1
14555,1
14563,1
14653,1
14685,1
14717,1
14788,1
14811,1
14898,1
14915,1
14944,1
14951,1
14957,1
14962,1
15070,1
15075,1
15093,2
15106,2
15159,1
15258,2
15263,4
15372,1
15395,1
15538,1
15629,1
15650,5
15674,1
15740,1
15796,1
15800,1
15831,2
15913,1
15981,2
16035,1
16193,1
16246,1
16256,1
16257,5
16336,1
16344,1
16395,1
16407,1
16411,1
16435,1
16519,1
16531,4
16563,1
16819,5
16956,1
16984,1
17105,1
17139,1
17147,1
17346,1
17410,1
17677,2
17681,1
17705,1
17748,1
17750,3
17755,2
17817,1
17874,1
17933,1
18076,1
18137,1
18177,1
18207,1
18350,1
18385,1
18398,1
18407,2
18599,1
18763,1
18807,1
18815,2
18828,1
18852,1
18883,1
18892,1
18915,1
18945,1
18948,1
18997,1
19039,1
19098,1
19108,1
19178,1
19207,1
19248,1
19474,2
19480,1
19557,1
19574,1
19626,1
19657,1
19674,1
19783,1
19899,2
19965,1
20009,1
20070,1
20179,1
20197,1
20236,1
20362,1
20421,2
20434,1
20486,1
20529,1
20565,1
20684,1
20702,2
20708,2
20737,2
20794,1
20809,1
20892,1
20976,1
20987,1
21031,1
21038,1
21157,2
21186,1
21194,4
21301,1
21310,1
21354,1
21388,1
21454,2
21464,1
21519,1
21547,1
21595,1
21662,1
21830,1
21836,1
21914,1
21941,1
21942,1
21948,2
21964,1
22005,1
22038,1
22058,2
22085,1
22116,1
22193,1
22256,1
22258,1
22343,1
22456,1
22461,1
22464,1
22471,1
22495,1
22530,1
22584,1
22600,2
22653,1
22658,1
22669,1
22817,1
22819,1
22829,1
22842,1
22861,1
22886,1
22986,1
23001,1
23123,1
23130,1
23343,1
23526,1
23563,1
23637,2
23655,1
23749,1
23757,1
23771,1
23782,1
23839,6
23880,1
23956,1
23999,1
24030,1
24068,1
24084,1
24124,1
24155,1
24278,3
24306,1
24314,1
24372,7
24382,1
24386,3
24451,1
24499,1
24519,1
24622,1
24680,2
24723,1
24747,2
24791,1
24887,1
24998,3
24999,1
25106,1
25134,1
25189,1
25276,1
25331,2
25360,1
25412,2
25439,1
25444,1
25530,1
25676,2
25691,1
25753,1
25826,1
25923,1
25965,1
26005,2
26054,1
26089,1
26095,1
26103,2
26119,1
26165,1
26184,1
26199,1
26223,1
26227,1
26256,1
26258,2
26318,1
26368,1
26378,1
26429,1
26463,1
26469,1
26480,1
26530,2
26562,1
26574,4
26598,2
26677,3
26696,4
26728,1
26812,1
26857,1
26859,1
26890,1
26955,2
26965,2
27029,1
27063,1
27072,1
27217,1
27257,1
27282,1
27333,2
27539,3
27550,2
27592,3
27616,3
27701,3
27854,1
27953,2
27971,1
27982,1
27998,1
28107,2
28124,1
28345,1
28355,1
28380,2
28421,1
28428,1
28498,1
28507,1
28520,1
28524,1
28529,1
28669,1
28674,2
28679,2
28698,3
28786,1
28793,1
28882,1
28896,7
28985,2
29256,1
29311,1
29331,1
29355,1
29356,1
29489,1
29557,3
29577,1
29591,1
29622,1
29766,1
29997,4
30025,3
30114,1
30131,2
30141,1
30238,1
30292,1
30348,1
30355,1
30393,1
30444,1
30448,1
30477,1
30533,1
30566,7
30576,1
30603,2
30633,1
30709,1
30818,1
30880,1
30920,1
31134,1
31145,1
31147,1
31205,1
31300,1
31333,1
31375,1
31439,1
31440,2
31444,1
31445,1
31482,1
31578,2
31616,1
31620,1
31659,1
31756,1
31789,2
31869,2
31907,1
31918,1
31928,1
31989,1
31992,1
32003,1
32263,1
32310,1
32317,2
32353,1
32365,1
32402,3
32471,1
32477,1
32504,3
32534,1
32573,2
32600,1
32660,3
32706,1
32708,1
32742,1
32963,1
32978,1
33006,1
33034,2
33151,1
33255,1
33281,1
33347,1
