paragraph_id,question_id,answer
14754,60544,в Древнем Египте
13859,1604,COSTAR
8310,30350,теория дрейфа материков
8766,53270,изделиям из монолитных камней
14719,75698,оральные и назальные
4857,71431,на предсказуемость швейцарского правового порядка
6674,58761,суд первой инстанции
6980,18725,Лазеры
1154,28808,эффективность разработки
13109,42131,статический аспект речи — предмет лингвистики текста
2568,63271,1300 — 1400 г. Рост мозга продолжается до 20 лет
11596,68324,Виннипегская всеобщая забастовка
14552,74635,мутации
1757,34141,более 1 мм
3282,15070,аксиоматики Колмогорова — Р. фон Мизеса
4394,379,в Бретань
10107,36978,До 1917 года
5448,50220,Учёные и студенты Уппсальского университета
2050,9518,в цитоплазме
11427,82693,в 1766 году
7506,71720,Кризис 1930-х годов
13580,79525,Пальмьери
11729,58463,в течение 5 — 7 дней
10731,60951,должность профессора англосаксонского языка Роулинсона
10920,10609,наличие девяти глагольных времён и четырёх наклонений
6418,11870,в 1959 году
10254,64073,на работу с электронной почтой
13787,42707,направление движения крови
14015,9566,Уайльд
10261,48470,XII века
9261,37149,в повторно-кратковременном режиме
3758,67061,свою плодотворность
9378,79230,В заключительной
2339,52101,institutio
9151,53434,The Nice и Moody Blues
12058,6770,средневековой
9856,74679,в 405 году
7664,31421,в жанре дзидайгэки
8784,45413,за ненадлежащую рекламу пива
1866,38873,610 метров
9415,58055,"при воздействии на известняки гидротермальных растворов, подземных или поверхностных вод"
11104,58160,наподобие молекулярного шприца
14896,39502,дендриты и аксон
9615,74907,от 2004 года
9573,46510,кнопочник
1926,52955,В эпоху романтизма
8805,60953,еще в античности
11380,55785,в конденсатор
5792,82194,от 0 до 9
12426,41354,в ПЗУ блока электроники
1069,58696,всё сильнее и сильнее изменяющихся условий жизни и культуры
5755,29799,имело важное значение для духовного становления молодого писателя
13293,74422,архитектура информационных технологий
9894,58999,медленное горение
3449,3001,из-за мирового счастья
2897,27326,как расчетные единицы
10349,26078,Адриен Мари Лежандр
14182,17093,от величины сигнала
6671,11319,живыми существами
11241,64466,в Первоосновах теологии
14350,75947,в XVIII
4466,21891,рассказ Лёгкое дыхание
3440,17743,две команды из трёх конькобежцев
11749,60701,"несущие образовательную, воспитательную функции"
9856,37662,учёным и священником Маштоцем
10328,25301,русско-нидерландской торговле
13936,54419,Chipknip
4273,44239,для кипячения воды в котле
10721,35152,синапсов
11344,7562,стратегических инициатив
14805,73357,целым спектром признаков
14873,5999,Grantia
8862,76432,с понятием йога
2599,10495,для просушки дорог после зимнего периода
2634,5205,чтобы выявлять это ограничение и управлять им
5485,37445,Аналогично лимитрофам
5663,36120,761
8042,614,от 1.5 до 5 м
5930,45842,стала частью Лавразии
11575,38322,1888
14311,3121,325 года
530,24169,В современном кинематографе
13026,71000,в 1637 году
278,67856,цены на ранее выпущенные облигации будут снижаться
11757,79412,к столице вдоль Москвы-реки
8844,33661,дистрибуции бизнес-тревел услуг
9049,22320,клювовидные
13803,33508,как советские битлы
8560,9609,достаточно ровно
11767,22481,под строевую подготовку квартировавшим в Уимблдоне воинским частям
4958,52309,Тоскана
6287,44988,В 1642 году
11955,38222,кратчайшим путём северный и южный берега Финского залива
5380,51026,уточняет или расширяет положения этой теории
2008,52715,Если произведение изначально описывает все детали происшествия
14609,7061,делают их структуры и конфигурации весьма сложными и разнообразными
13525,27964,Лавразии
10810,1831,с конца 1980-х годов
2197,60240,в первом столетии
5874,29607,миграцией антигенпрезентирующих клеток в лимфоидные органы
9439,43576,тремя продольными рядами
13062,26855,конструктивных философских оправданий современному искусству
5700,44461,Кромвель
1044,81802,в равнинных водоёмах
5115,49730,добровольная ликвидация и альтернативная
3917,79254,офшорной зоной
1181,57924,героям своих мифов
11854,28991,непосредственно нашими органами чувств
14814,70172,Диагностика ошибки
10597,67844,В 50-е годы
8797,32837,белая и зеленоватых оттенков
13971,17818,как равноправные
11871,17137,на микобионте
10256,56493,в атмосферу или поступать в конденсатор
3266,52371,Ведомости
11466,39154,для точного определения величины затрат
1701,43810,исключённые из Государственного реестра гражданских воздушных судов Российской Федерации
